1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
79, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
80, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
81, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
82, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
83, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
84, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
85, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
86, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
87, none, minecraft:sunflower_plains, MONSTER, fromtheshadows:nehemoth, 25, 1, 1
88, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
89, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
90, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
91, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
92, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
93, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
94, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
95, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
96, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
97, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
98, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
99, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
100, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
101, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
102, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
103, none, minecraft:sunflower_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
104, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 8, 8
105, none, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 8, 8
106, none, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 8, 8
107, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 8, 8
108, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
109, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
110, none, minecraft:sunflower_plains, CREATURE, naturalist:snail, 10, 1, 3
111, none, minecraft:sunflower_plains, CREATURE, naturalist:snake, 10, 1, 1
112, none, minecraft:sunflower_plains, CREATURE, naturalist:butterfly, 10, 1, 3
113, none, minecraft:sunflower_plains, CREATURE, naturalist:robin, 10, 1, 4
114, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
115, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
116, none, minecraft:sunflower_plains, fireflies, naturalist:firefly, 10, 2, 3
117, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
118, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
119, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
120, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
121, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
122, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
123, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
124, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
125, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
126, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
127, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
128, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
129, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
130, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
131, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
132, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
133, icy, minecraft:snowy_plains, MONSTER, fromtheshadows:nehemoth, 25, 1, 1
134, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
135, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
136, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
137, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
138, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
139, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
140, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
141, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
142, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
143, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
144, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
145, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
146, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
147, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
148, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
149, icy, minecraft:snowy_plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
150, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
151, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
152, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
153, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
154, icy, minecraft:snowy_plains, CREATURE, naturalist:snail, 10, 1, 3
155, icy, minecraft:snowy_plains, CREATURE, naturalist:snake, 10, 1, 1
156, icy, minecraft:snowy_plains, CREATURE, naturalist:bluejay, 10, 1, 4
157, icy, minecraft:snowy_plains, CREATURE, cnb:yeti, 10, 2, 3
158, icy, minecraft:snowy_plains, CREATURE, naturalist:butterfly, 10, 1, 3
159, icy, minecraft:snowy_plains, CREATURE, naturalist:robin, 10, 1, 4
160, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
161, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
162, icy, minecraft:snowy_plains, fireflies, naturalist:firefly, 10, 2, 3
163, none, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
164, none, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
165, none, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
166, none, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
167, none, minecraft:ice_spikes, MONSTER, minecraft:slime, 80, 4, 4
168, none, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
169, none, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
170, none, minecraft:ice_spikes, MONSTER, minecraft:stray, 80, 4, 4
171, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
172, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
173, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
174, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
175, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
176, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
177, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
178, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
179, none, minecraft:ice_spikes, MONSTER, fromtheshadows:nehemoth, 25, 1, 1
180, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
181, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
182, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
183, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
184, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
185, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
186, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
187, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
188, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
189, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
190, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
191, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
192, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
193, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
194, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
195, none, minecraft:ice_spikes, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
196, none, minecraft:ice_spikes, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
197, none, minecraft:ice_spikes, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
198, none, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
199, none, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 10, 1, 2
200, none, minecraft:ice_spikes, CREATURE, naturalist:bluejay, 10, 1, 4
201, none, minecraft:ice_spikes, CREATURE, cnb:yeti, 10, 2, 3
202, none, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
203, none, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
204, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
205, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
206, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
207, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
208, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
209, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
210, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
211, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
212, desert, minecraft:desert, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
213, desert, minecraft:desert, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
214, desert, minecraft:desert, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
215, desert, minecraft:desert, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
216, desert, minecraft:desert, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
217, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
218, desert, minecraft:desert, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
219, desert, minecraft:desert, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
220, desert, minecraft:desert, MONSTER, fromtheshadows:nehemoth, 25, 1, 1
221, desert, minecraft:desert, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
222, desert, minecraft:desert, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
223, desert, minecraft:desert, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
224, desert, minecraft:desert, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
225, desert, minecraft:desert, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
226, desert, minecraft:desert, MONSTER, creeperoverhaul:desert_creeper, 75, 2, 2
227, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
228, desert, minecraft:desert, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
229, desert, minecraft:desert, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
230, desert, minecraft:desert, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
231, desert, minecraft:desert, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
232, desert, minecraft:desert, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
233, desert, minecraft:desert, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
234, desert, minecraft:desert, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
235, desert, minecraft:desert, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
236, desert, minecraft:desert, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
237, desert, minecraft:desert, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
238, desert, minecraft:desert, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
239, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
240, desert, minecraft:desert, CREATURE, cnb:lizard, 15, 1, 4
241, desert, minecraft:desert, CREATURE, naturalist:vulture, 15, 2, 4
242, desert, minecraft:desert, CREATURE, cnb:cactem, 10, 6, 13
243, desert, minecraft:desert, CREATURE, naturalist:cardinal, 10, 1, 4
244, desert, minecraft:desert, CREATURE, naturalist:rattlesnake, 10, 1, 1
245, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
246, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
247, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
248, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
249, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
250, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
251, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
252, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
253, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
254, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
255, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
256, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
257, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
258, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
259, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
260, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:zombieswith_door, 13, 1, 1
261, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:decrepit_skeleton, 40, 1, 1
262, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:restless_spirit, 15, 1, 1
263, swamp, minecraft:swamp, MONSTER, fromtheshadows:nehemoth, 25, 1, 1
264, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
265, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:skeleton_bomb, 10, 1, 1
266, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 2
267, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:baby_s_2, 15, 1, 1
268, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
269, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:zombiesina_barrel, 16, 1, 1
270, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:dark_vortex, 11, 1, 1
271, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
272, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:supreme_bonecaller, 10, 1, 1
273, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:wither_strider, 15, 1, 1
274, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
275, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
276, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
277, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:ser_pumpkinhead, 10, 1, 1
278, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:decaying_zombie, 26, 1, 1
279, swamp, minecraft:swamp, MONSTER, creeperoverhaul:swamp_creeper, 75, 2, 2
280, swamp, minecraft:swamp, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
281, swamp, minecraft:swamp, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
282, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
283, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
284, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
285, swamp, minecraft:swamp, CREATURE, minecraft:cow, 10, 4, 4
286, swamp, minecraft:swamp, CREATURE, minecraft:frog, 10, 2, 5
287, swamp, minecraft:swamp, CREATURE, naturalist:snail, 10, 1, 3
288, swamp, minecraft:swamp, CREATURE, naturalist:snake, 10, 1, 1
289, swamp, minecraft:swamp, CREATURE, cnb:lilytad, 45, 1, 1
290, swamp, minecraft:swamp, CREATURE, cnb:minipad, 20, 3, 6
291, swamp, minecraft:swamp, CREATURE, cnb:sporeling, 25, 3, 5
292, swamp, minecraft:swamp, CREATURE, naturalist:cardinal, 10, 1, 4
293, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
294, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
295, swamp, minecraft:swamp, fireflies, naturalist:firefly, 10, 2, 3
296, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:spider, 80, 4, 4
297, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:zombie, 80, 4, 4
298, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
299, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:skeleton, 80, 4, 4
300, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:slime, 80, 4, 4
301, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:enderman, 5, 1, 4
302, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:witch, 5, 1, 1
303, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:slime, 10, 1, 1
304, swamp, minecraft:mangrove_swamp, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
305, swamp, minecraft:mangrove_swamp, MONSTER, born_in_chaos_v1:spiritual_guide, 12, 1, 1
306, swamp, minecraft:mangrove_swamp, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
